companyName,title,location,address,city,state,zipcode,isRemote,categories,compensation,compensationRange,salaryMin,salaryMax,salaryType,jobType,description,workSchedule,schedule,minimumAge,openingDate,closingDate,isOngoing,applicationDeadline,eligibility,applicationLink,hasTraining,hasAdvancement,requiresTransportation,requiresResume,photoUrl,isActive,isApproved
"Balance Boxes Bay Area","youth volunteers needed","","Alameda County","Alameda County","CA","",false,"Community Service","Volunteer / Unpaid","","","","","","Balance Boxes Bay Area Chapter is now looking for volunteers to join our team! Volunteers are expected to research and contact potential companies to solicit donations from, help write grants, and pack boxes. This is a relatively routinistic workload and a long-term position. Volunteers will receive specific instructions on how to complete tasks and learn how to collaborate with others. While this opportunity is virtual, it is required that volunteers live in the San Francisco Bay Area or at the very least, California. Volunteers are welcomed to attend packing parties and deliveries, but they are not required to do so.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Help review books at Fremont Library","Help review books at Fremont Library","","","Fremont","CA","",false,"Community Service","Volunteer / Unpaid","","","","","","Help your fellow teens find the best books by signing up to be a Virtual Book Volunteer. Virtual Book Volunteers use our online catalog to find books to read and, once finished, write a book review for our site. They can also create customized book lists based on a favorite topic or to recommend “readalikes” of their favorite title. Links to reviews and book lists will be sent to our librarians for review. You might even have yours published on the library website!","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Fight hunger in Oakland","serve meals in our free dining room","","675 - 23rd Street Oakland","CA 94612","CA","94612",false,"Community Service","Volunteer / Unpaid","","","","","","The St. Vincent de Paul Free Dining Room serves a hot, healthy meal Tuesday-Saturday. Located in one of the most distressed neighborhoods in Northern California, the Free Dining Room serves nearly 600 meals on average per day. Join our team of volunteers to help feed those who are hungry. This opportunity is appropriate for groups of up to 15 people. The items that need to change are anything that has to do with us physically working with our clients (i.e. serve beverages and hand out trays to clients). We are preparing on average 450 bagged take a way lunches for clients. We have contactless pick up for our clients to receive the lunches. VOLUNTEERS WILL BE ASKED TO: Dish food Serve beverages Hand out trays to clients Wash and dry dishes Clean tables Assist with kitchen prep work Organize refrigerators or dry storage spaces Attend to all clients that we serve including families, young children, elderly, and disabled TIME: 9am – 1pm; shifts are available Tuesday – Saturday COMMITTMENT: One time and ongoing volunteers are welcome Volunteers will attend an orientation and receive training on their first day of service. REQUIREMENTS: – Must be at least 14 Orientation or Training – 9am – 1pm Tuesday-Saturday – Volunteers must be able to stand for at least two hours","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Pack and distribute food at the TCV Food Bank","Pack and distribute food at the TCV Food Bank","","37350 Joseph Street Fremont","California 94536","California","94536",false,"Community Service","Volunteer / Unpaid","","","","","","Roll up your sleeves and help make your community stronger! At TCV Food Bank has been safely serving out clients through COVID-19. Since the Shelter-In-Place our clients have more than doubled and we are serving over 500 clients daily on our site! Health and Safety of everyone is our top priority and all volunteer tasks are masked and socially distanced. We are working with a small but mighty team and we need your help. Work in a great team! Learn how a warehouse operates and acquire warehouse management skills! Get a reference or recommendation after a period of time volunteering with our warehouse supervisors! Have fun while helping the community! The Food bank is open Monday – Friday. Volunteer shifts are available from 8:30am-3:00pm. No weekend or evening volunteer opportunities. Volunteer tasks may include: Packing Client’s Food Distributing Food Into Client’s Vehicles in Drive-Thru Requirement: Must be at least 16 years old","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Tutor an unhoused students","Tutor an unhoused students","","2909 McClure St. Oakland","California 94609","California","94609",false,"Community Service","Volunteer / Unpaid","","","","","","Community Education Partnerships (CEP) believes in providing quality education to students in the Bay Area who are unhoused and to those facing housing instability. As a consistent presence in the life of a homeless youth, you can help build up that child’s confidence and instill a joy for reading and math that will help set them up for academic success. In an effort to keep our students and volunteers safe, CEP is providing virtual tutoring at this time. All California residents are welcome to apply, however, CEP will prioritize volunteers who are local to the Bay Area, willing to transition to in-person tutoring when deemed safe, and able to commit to volunteering at least six months. As a virtual volunteer tutor with CEP you will: Work virtually with a student for at least one hour per week Provide homework support and academic skill building Read aloud and be read to in return Play literacy and math games Have fun! No teaching experience required and anyone over the age of 16 can volunteer. Session times are flexible and all of the necessary training is provided. Students range from 2nd grade through high school and are matched with tutors based on age and grade preferences. Tutors under the age of 18 must have a parent or guardian co-tutoring with them.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Volunteer with San Leandro Community Pantry","Volunteer with San Leandro Community Pantry","","","San Leandro","CA","",false,"Community Service","Volunteer / Unpaid","","","","","","The SL Community Food Pantry is 100% volunteer organization. We use 20-25 volunteers every week, and approximately 80% of our volunteers also get food from the pantry. SLCFP is part of the grocery rescue program – grocery stores donate damaged or about to be outdated items to those in the program. We pick up from our stores, weigh and sort, then stock the items in our storage room. We provide groceries to those in need every Thursday evening. Our volunteers help set up, hand out food, and clean up each Thursday evening from 5:00 – 8:15 pm. Requirements: Available weekday mornings to pick up grocery donations from local grocery stores Involves lifting up to 50 lbs., weighing boxes, sorting and putting away the contents of the boxes Must have a truck, or vehicle that would hold a large load of banana boxes (20 or more) We can accommodate groups of 8-10 Youth under 15 must be accompanied by an adult Volunteer for one Thursday or many Schedule the day in advance","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Climate Equity Fund Measure grass roots work","Climate Equity Fund Measure grass roots work","","","Alameda County","CA","",false,"Community Service","Volunteer / Unpaid","","","","","","Be a part of passing this historic Climate Measure. Expand our grass roots work to get the word out about the importance of planning for Berkeley’s climate future with economic equity. Social media, literature compilation and drop offs, endorsement recruiting and other activities will help pass this measure on the November ballot.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Garden Creation and Maintenance at Historic House","Garden Creation and Maintenance at Historic House","","","Alameda County","CA","",false,"Community Service","Volunteer / Unpaid","","","","","","Our 133 year old garden is now being turned into a teaching garden for local schools in our Fruitvale neighborhood. We are creating permaculture beds that will last for years. It is a lovely 1/2 acre garden in the middle of the city. A lovely place to hang out, get dirt under your fingernails and meet people while you help create our garden We are creating new beds, planting old ones, weeding, planting fruit trees, working on irrigation. Come with your family, service group, friends or by yourself ! We work the 1st Saturday and 4th Sunday of every month from 10-2 We provide snacks and drinks. Let us know you are coming !","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"McConaghy House tour guide","McConaghy House tour guide","","","Alameda County","CA","",false,"Community Service","Volunteer / Unpaid","","","","","","The Hayward Area Historical Society warmly invites you to join the McConaghy House volunteer team as a Tour Guide. Tour Guides will lead visitors through this fully-furnished Victorian farmhouse, telling stories of the past using the exhibits in the house. Volunteers will also get a unique behind-the-scenes look at a historic house and museum, and receive training from our museum experts! We are especially in need of help during the Holiday season, when the house is decked out with garlands and decorations. We are open the first three weekends in December to welcome guests into our winter wonderland. ALL Hayward Area Historical Society volunteers receive a free membership, which includes a 10% discount in the museum store and the Cannery Cafe along with plenty of other benefits. You must be at least 16 years old and commit to a minimum of 4 hours per month. McConaghy House is located at 18701 Hesperian Boulevard, Hayward, CA 94545 (next to Kennedy Park). Tour Guides needed the first weekend of every month, 11:00am to 4:00pm. Please contact us at education@haywardareahistory.org if you would like to learn more or check out our website: http://www.haywardareahistory.org/","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Maintain the flower garden at the Shinn Park","Maintain the flower garden at the Shinn Park","","","Alameda County","CA","",false,"Community Service","Volunteer / Unpaid","","","","","","Do you love to garden or would you like to learn? Then consider volunteering your time with the Friends of Heirloom Flowers – a volunteer garden club responsible for maintaining the flower gardens at Shinn Historic Park & Arboretum – a Fremont Historical Park. We are looking for volunteers to work with us on Tuesday mornings from 10 am to noon at the park located at 1251 Peralta Blvd., (off Mowry Avenue) Fremont and we hope that you will consider membership in our garden club. Your schedule is busy? We do have Saturday morning opportunities available from time to time so let us know if you would like to be on our list. We hope to hear from you soon! If we can answer any questions for you be sure to call or write! Thanks for your interest. **If you are a group of 10 or more we may be able to schedule a special volunteer opportunity for your group on an alternate date.** You must keep social distance and wear a mask while volunteering. If you are a student ages 14-17 we do require a parent to volunteer with you.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
